SKU_COD,MODEL_COD,BRAND_DES,MD_SKU_STATUS_COD,PRODUCT_TYPE_COD,COLOR,COLOR_FAMILY_1_DES,ZLENSCODE,filename_root,USERGENDER_DES,CTM_FIRST_FRONT_MATERIAL_DES,SHAPE_SEMI_GROUPED,GRANULAR_SHAPE_AWS,CTM_FIRST_TEMPLE_MATERIAL_DES,FlatTop_FlatTop_1,SIZE_COD,LENSHEIGHTVAL,BRIDGE_LENGTH,LENS_BASE,RIM_TYPE_DES
110431DDB5020,110431,POLAROID,IL,1,DDB,GD,00,1104310DDB00,UNISEX ADULT,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,50,44.65217391304349,20,2,FULL RIM
110431J5G5020,110431,POLAROID,IL,1,J5G,GD,00,1104310J5G00,UNISEX ADULT,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,50,44.65217391304349,20,2,FULL RIM
110434KB75318,110434,POLAROID,IL,1,KB7,GY,00,1104340KB700,UNISEX ADULT,INJECTED,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,53,41.637499999999996,18,2,FULL RIM
110434PJP5318,110434,POLAROID,IL,1,PJP,BL,00,1104340PJP00,UNISEX ADULT,INJECTED,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,53,41.637499999999996,18,2,FULL RIM
110438KB74922,110438,POLAROID,IL,1,KB7,GY,00,1104380KB700,UNISEX ADULT,INJECTED,SQUARETANGULAR_SOFT,RECTANGULAR SOFT,ACETATE,NOFLATTOP,49,40.7,22,2,FULL RIM
110439CBL5022,110439,POLAROID,IL,1,CBL,GY,00,1104390CBL00,UNISEX ADULT,INJECTED,SQUARETANGULAR_HEX,RECTANGULAR HEX,ACETATE,NOFLATTOP,50,42.9,22,2,FULL RIM
110439TUI5022,110439,POLAROID,IL,1,TUI,BW,00,1104390TUI00,UNISEX ADULT,INJECTED,SQUARETANGULAR_HEX,RECTANGULAR HEX,ACETATE,NOFLATTOP,50,42.9,22,2,FULL RIM
110450KB75022,110450,POLAROID,IL,1,KB7,GY,00,1104500KB700,UNISEX ADULT,INJECTED,ROUNDISH,ROUND GEOMETRICAL,ACETATE,NOFLATTOP,50,44.5,22,2,FULL RIM
110450TUI5022,110450,POLAROID,IL,1,TUI,BW,00,1104500TUI00,UNISEX ADULT,INJECTED,ROUNDISH,ROUND GEOMETRICAL,ACETATE,NOFLATTOP,50,44.5,22,2,FULL RIM
110452TUI5122,110452,POLAROID,IL,1,TUI,BW,00,1104520TUI00,UNISEX ADULT,INJECTED,ROUNDISH,ROUND GEOMETRICAL,ACETATE,NOFLATTOP,51,45.4,22,2,FULL RIM
110459KB75515,110459,SEVENTH STREET,IL,1,KB7,GY,00,1104590KB700,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,56,39.2,16,4,FULL RIM
110465AOZ5320,110465,SEVENTH STREET,IL,1,AOZ,GD,00,1104650AOZ00,MAN,METAL,SQUARETANGULAR_DB,RECTANGULAR DB,INJECTED,NOFLATTOP,53,38.6,20,4,FULL RIM
110465AOZ5520,110465,SEVENTH STREET,IL,1,AOZ,GD,00,1104650AOZ00,MAN,METAL,SQUARETANGULAR_DB,RECTANGULAR DB,INJECTED,NOFLATTOP,55,40.0,20,4,FULL RIM
110465KJ15320,110465,SEVENTH STREET,IL,1,KJ1,GY,00,1104650KJ100,MAN,METAL,SQUARETANGULAR_DB,RECTANGULAR DB,INJECTED,NOFLATTOP,53,38.6,20,4,FULL RIM
110465KJ15520,110465,SEVENTH STREET,IL,1,KJ1,GY,00,1104650KJ100,MAN,METAL,SQUARETANGULAR_DB,RECTANGULAR DB,INJECTED,NOFLATTOP,55,40.0,20,4,FULL RIM
110465R815320,110465,SEVENTH STREET,IL,1,R81,GY,00,1104650R8100,MAN,METAL,SQUARETANGULAR_DB,RECTANGULAR DB,INJECTED,NOFLATTOP,53,38.6,20,4,FULL RIM
110465R815520,110465,SEVENTH STREET,IL,1,R81,GY,00,1104650R8100,MAN,METAL,SQUARETANGULAR_DB,RECTANGULAR DB,INJECTED,NOFLATTOP,55,40.0,20,4,FULL RIM
110469KB75516,110469,SEVENTH STREET,IL,1,KB7,GY,00,1104690KB700,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,55,41.0,16,4,FULL RIM
110469KB75737,110469,SEVENTH STREET,IL,1,KB7,GY,00,1104690KB700,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,57,42.5,17,4,FULL RIM
110469PJP5516,110469,SEVENTH STREET,IL,1,PJP,BL,00,1104690PJP00,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,55,41.0,16,4,FULL RIM
110469PJP5737,110469,SEVENTH STREET,IL,1,PJP,BL,00,1104690PJP00,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,57,42.5,17,4,FULL RIM
110475B3V5217,110475,SEVENTH STREET,IL,1,B3V,VL,00,1104750B3V00,WOMAN,ACETATE,SQUARETANGULAR_FARFANGULAR,SQUARE FARFANGULAR,ACETATE,NOFLATTOP,52,44.1,16,4,FULL RIM
110475ZI95217,110475,SEVENTH STREET,IL,1,ZI9,BL,00,1104750ZI900,WOMAN,ACETATE,SQUARETANGULAR_FARFANGULAR,SQUARE FARFANGULAR,ACETATE,NOFLATTOP,52,44.1,16,4,FULL RIM
110477KB75215,110477,SEVENTH STREET,IL,1,KB7,GY,00,1104770KB700,WOMAN,ACETATE,SQUARETANGULAR,RECTANGULAR,ACETATE,NOFLATTOP,52,38.1,15,4,FULL RIM
