SKU_COD,BRAND_DES,MD_SKU_STATUS_COD,PRODUCT_TYPE_COD,COLOR,COLOR_FAMILY_1_DES,ZLENSCODE,MODEL_COD,filename_root,USERGENDER_DES_PRECISE,USERGENDER_DES,CTM_FIRST_FRONT_MATERIAL_DES,CTM_FIRST_TEMPLE_MATERIAL_DES,SIZE_COD,FRONT_LENGTH_VAL,LENSHEIGHTVAL,BRIDGE_LENGTH_VAL,FRONT_HEIGHT_VAL,STARTSKU_DATE,ACT_SKU_PRICE_VAL,MACRO_SHAPE_AWS,GRANULAR_SHAPE_AWS,SHAPE_SEMI_GROUPED,FlatTop_FlatTop_1,browline_browline_1,bridge_Bridge_1,RIM_TYPE_DES
101566OIT5416,HUGO,IL,1,OIT,BK,00,101566,1015660OIT00,MAN,MAN,ACETATE,ACETATE,54,140.08178025034766,35.5,17,41.65118219749656,2018-08-01,147.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
101622FRE5418,HUGO,IL,1,FRE,GY,00,101622,1016220FRE00,MAN,MAN,METAL,METAL,54,140.08178025034766,37.4,18,41.65118219749656,2018-08-01,172.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
101836R805517,SEVENTH STREET,IL,1,R80,GY,00,101836,1018360R8000,MAN,MAN,METAL,METAL,55,141.30916568742657,34.6,17,42.636009445100356,2018-08-01,178.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,RIMLESS
101837CTL5017,SEVENTH STREET,IL,1,CTL,GY,00,101837,1018370CTL00,MAN,MAN,METAL,METAL,50,133.5,43.3,17,40.0,2018-08-01,178.0,OVAL,OVAL,OVAL,NOFLATTOP,NO BROWLINE,SINGLE,RIMLESS
101837J5G5017,SEVENTH STREET,IL,1,J5G,GD,00,101837,1018370J5G00,MAN,MAN,METAL,METAL,50,133.5,43.3,17,40.0,2018-08-01,178.0,OVAL,OVAL,OVAL,NOFLATTOP,NO BROWLINE,SINGLE,RIMLESS
102052RIW5718,HUGO BOSS,IL,1,RIW,GY,00,102052,1020520RIW00,MAN,MAN,METAL,METAL,57,143.2607068607067,38.5,18,43.04041666666669,2019-01-01,256.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
102081S9E4721,TOMMY HILFIGER,IL,1,S9E,GD,00,102081,1020810S9E00,UNISEX ADULT,UNISEX ADULT,METAL,METAL,47,137.59705882352947,42.6,21,137.59705882352947,2019-01-01,187.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102085DDB5316,TOMMY HILFIGER,IL,1,DDB,GD,00,102085,1020850DDB00,WOMAN,WOMAN,METAL,METAL,53,140.80462962962963,48.2,16,53.89938271604942,2019-01-01,160.0,SQUARE,SQUARE,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102087ECJ5317,TOMMY HILFIGER,IL,1,ECJ,BL,00,102087,1020870ECJ00,WOMAN,WOMAN,METAL,METAL,53,135.98823529411763,38.7,17,41.142156862745054,2019-01-01,188.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102087ECJ5517,TOMMY HILFIGER,IL,1,ECJ,BL,00,102087,1020870ECJ00,WOMAN,WOMAN,METAL,METAL,55,139.7,40.2,17,42.1,2025-08-01,188.0,RECTANGULAR,RECTANGULAR FARFANGULAR,SQUARETANGULAR_FARFANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102096D515516,CARRERA,IL,1,D51,BK,00,102096,1020960D5100,MAN,MAN,INJECTED,INJECTED,55,141.57115384615386,35.9,16,42.640000000000015,2022-08-01,181.0,RECTANGULAR,RECTANGULAR ACTIVE,SQUARETANGULAR_ACTIVE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102096FLL5516,CARRERA,IL,1,FLL,BL,00,102096,1020960FLL00,MAN,MAN,INJECTED,INJECTED,55,141.57115384615386,35.9,16,42.640000000000015,2019-01-01,181.0,RECTANGULAR,RECTANGULAR ACTIVE,SQUARETANGULAR_ACTIVE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102099D515417,TOMMY HILFIGER,IL,1,D51,BK,00,102099,1020990D5100,MAN,MAN,METAL,METAL,54,133.0,34.2,17,35.8,2019-01-01,195.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
102099R805417,TOMMY HILFIGER,IL,1,R80,GY,00,102099,1020990R8000,MAN,MAN,METAL,METAL,54,133.0,34.2,17,35.8,2019-01-01,195.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,HALF RIM
102103PJP5318,TOMMY HILFIGER,IL,1,PJP,BL,00,102103,1021030PJP00,MAN,MAN,METAL,METAL,53,139.97268722466956,38.5,18,43.08915929203544,2019-01-01,195.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
102128HGC5516,FOSSIL,IL,1,HGC,BW,00,102128,1021280HGC00,MAN,MAN,INJECTED,INJECTED,55,141.30916568742657,34.0,16,42.636009445100356,2019-01-01,117.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102128RCT5516,FOSSIL,IL,1,RCT,BL,00,102128,1021280RCT00,MAN,MAN,INJECTED,INJECTED,55,141.30916568742657,34.0,16,42.636009445100356,2019-01-01,117.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102131FRE5217,FOSSIL,IL,1,FRE,GY,00,102131,1021310FRE00,WOMAN,WOMAN,METAL,INJECTED,52,135.17727272727276,44.2,17,47.83181818181819,2019-01-01,143.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,HALF RIM,SINGLE,FULL RIM
102166ISK5418,MARC JACOBS,IL,1,ISK,HV,00,102166,1021660ISK00,WOMAN,WOMAN,ACETATE,METAL,54,138.7,39.7,18,44.1,2019-01-01,196.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102258RIW5118,HUGO,IL,1,RIW,GY,00,102258,1022580RIW00,MAN,MAN,ACETATE,ACETATE,51,140.28478260869562,41.0,18,46.68333333333334,2019-01-01,142.0,RECTANGULAR,RECTANGULAR SOFT,SQUARETANGULAR_SOFT,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102259BLX4821,HUGO,IL,1,BLX,BK,00,102259,1022590BLX00,MAN,MAN,METAL,ACETATE,48,135.7047619047619,42.6,21,46.204761904761895,2019-01-01,157.0,PANTHOS,PANTOS,ROUNDISH,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102268PJP5417,HUGO,IL,1,PJP,BL,00,102268,1022680PJP00,MAN,MAN,ACETATE,ACETATE,54,140.08178025034766,36.6,17,41.65118219749656,2019-01-01,147.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102317J5G5519,HUGO,IL,1,J5G,GD,00,102317,1023170J5G00,MAN,MAN,METAL,METAL,55,141.21467348544422,46.8,19,144.15028248587575,2019-01-01,163.0,SQUARE DB,SQUARE DB,SQUARETANGULAR_DB,NOFLATTOP,NO BROWLINE,DOUBLE,FULL RIM
102459HT85017,SEVENTH STREET,IL,1,HT8,PK,00,102459,1024590HT800,GIRLTEEN (11-15),TEEN,ACETATE,ACETATE,50,126.23499999999999,39.0,17,126.23499999999999,2019-04-01,101.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOTFOUND,NOTFOUND,NOTFOUND,NOTFOUND
102462FL45115,KATE SPADE,IL,1,FL4,CR,00,102462,1024620FL400,WOMAN,WOMAN,ACETATE,ACETATE,51,134.89396551724138,35.3,15,42.60258620689654,2019-01-01,180.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102465BR05316,KATE SPADE,IL,1,BR0,BL,00,102465,1024650BR000,WOMAN,WOMAN,ACETATE,ACETATE,53,138.31493902439033,42.0,16,47.24099378881985,2019-01-01,175.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102465D515316,KATE SPADE,IL,1,D51,BK,00,102465,1024650D5100,WOMAN,WOMAN,ACETATE,ACETATE,53,138.31493902439033,42.0,16,47.24099378881985,2021-01-01,175.0,RECTANGULAR,RECTANGULAR CAT EYE,SQUARETANGULAR_CAT_EYE,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102632R805519,PIERRE CARDIN,IL,1,R80,GY,00,102632,1026320R8000,MAN,MAN,METAL,METAL,55,141.30916568742657,33.2,19,42.636009445100356,2019-08-01,155.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,HALF RIM,SINGLE,RIMLESS
102669YDC5513,FOSSIL,IL,1,YDC,BU,00,102669,1026690YDC00,WOMAN,WOMAN,ACETATE,ACETATE,55,135.6,36.5,13,39.8,2019-08-01,132.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102673KB75118,FOSSIL,IL,1,KB7,GY,00,102673,1026730KB700,MAN,MAN,ACETATE,METAL,51,134.3,32.5,18,36.6,2019-08-01,122.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
102673KB75318,FOSSIL,IL,1,KB7,GY,00,102673,1026730KB700,MAN,MAN,ACETATE,METAL,53,138.1,33.7,18,38.1,2019-08-01,122.0,RECTANGULAR,RECTANGULAR,SQUARETANGULAR,NOFLATTOP,NO BROWLINE,SINGLE,FULL RIM
