MODEL_COD,filename_root,PRESENT
111119,111119005L00,YES
111119,111119035J00,YES
111119,1111190PJP00,YES
111122,1111220PJP00,YES
111123,1111230KU000,YES
111123,1111230R8000,YES
111166,1111660D5100,YES
111166,1111660KB700,YES
111166,1111660PJP00,YES
111167,11116701ED00,YES
111167,1111670KB700,YES
111167,1111670PJP00,YES
111168,111168005N00,YES
111168,1111680KU000,YES
111168,1111680TI700,YES
111169,1111690PJP00,YES
111169,1111690YZ400,YES
111178,111178009Q00,YES
111178,11117801ED00,YES
111178,1111780C9A00,YES
111178,1111780FWM00,YES
111219,1112190J5G00,YES
111219,1112190KJ100,YES
111219,1112190R8000,YES
111221,111221035J00,YES
111221,1112210CVT00,YES
111221,1112210PJP00,YES
111221,1112210YDC00,YES
111225,11122502M200,YES
111225,1112250J5G00,YES
111225,1112250R8000,YES
111232,11123200T700,YES
111232,1112320ZI900,YES
111233,11123308CQ00,YES
111233,1112330ZI900,YES
111240,1112400PJP00,YES
111240,1112400SVK00,YES
111241,1112410PJP00,YES
111241,1112410R8000,YES
111241,1112410SVK00,YES
111242,1112420KJ100,YES
111242,1112420R8000,YES
111243,111243005L00,YES
111243,11124302LN00,YES
111243,11124302M000,YES
111243,1112430ZI900,YES
111244,111244005L00,YES
111244,111244009Q00,YES
111244,11124402M000,YES
111244,1112440WTA00,YES
111247,11124709RQ00,YES
111247,1112470HKT00,YES
111247,1112470KY200,YES
111247,1112470R1T00,YES
111249,11124906LB00,YES
111249,1112490DDB00,YES
111249,1112490J5G00,YES
111251,11125102M200,YES
111251,11125105F600,YES
111252,11125206LB00,YES
111252,1112520J5G00,YES
111297,111297010A00,YES
111297,1112970KB700,YES
111297,1112970ZI900,YES
111298,1112980B3V00,YES
111298,1112980C9A00,YES
111299,1112990B3V00,YES
111299,1112990ZI900,YES
111300,1113000B3V00,YES
111300,1113000ZI900,YES
111301,11130101ED00,YES
111301,1113010PJP00,YES
111360,11136002M200,YES
111360,1113600DDB00,YES
111360,1113600EYR00,YES
111364,11136402M200,YES
111364,1113640DDB00,YES
111364,1113640J5G00,YES
111365,1113650D5100,YES
111365,1113650KB700,YES
111365,1113650PJP00,YES
111366,11136608RU00,YES
111366,1113660OIT00,YES
111366,1113660PJP00,YES
111369,11136907ZJ00,YES
111369,1113690PJP00,YES
111371,11137100T700,YES
111371,111371035J00,YES
111371,1113710PJP00,YES
111372,111372009Q00,YES
111372,1113720C9A00,YES
111372,1113720PJP00,YES
111382,111382009Q00,YES
111382,11138204C300,YES
111382,1113820PJP00,YES
111386,1113860DLD00,YES
111386,1113860FLL00,YES
111386,1113860RIW00,YES
111390,11139000Z300,YES
111390,1113900FLL00,YES
111390,1113900KB700,YES
111390,1113900O6W00,YES
111393,1113930DLD00,YES
111393,1113930FLL00,YES
111393,1113930KB700,YES
111393,1113930O6W00,YES
111394,1113940BLX00,YES
111394,1113940FLL00,YES
111394,1113940PGC00,YES
111398,11139804C300,YES
111398,11139808CQ00,YES
111402,111402009Q00,YES
111402,1114020PJP00,YES
111408,11140806LB00,YES
111408,1114080J5G00,YES
111408,1114080KJ100,YES
111408,1114080R8000,YES
111480,11148000T700,YES
111480,11148001ED00,YES
111480,1114800B3V00,YES
111498,11149800Z300,YES
111498,1114980FLL00,YES
111498,1114980RC200,YES
111524,1115240REJ00,YES
111640,1116400OIT00,YES
111640,1116400PJP00,YES
111640,1116400TBO00,YES
111641,11164101ED00,YES
111641,1116410KB700,YES
111642,1116420E2800,YES
111642,1116420R8000,YES
111642,1116420TI700,YES
111643,111643085K00,YES
111643,1116430RHL00,YES
111643,1116430W3J00,YES
111644,11164402M200,YES
111644,1116440J5G00,YES
111644,1116440R8000,YES
111645,1116450KB700,YES
111645,1116450PJP00,YES
111646,1116460PJP00,YES
111647,11164702M200,YES
111647,1116470REJ00,YES
111648,11164802M200,YES
111648,1116480REJ00,YES
111649,111649085K00,YES
111649,1116490LOJ00,YES
111649,1116490RHL00,YES
111650,1116500BLX00,YES
111650,1116500R8000,YES
111650,1116500R8100,YES
111651,1116510BLX00,YES
111651,1116510PJP00,YES
111651,1116510XYO00,YES
111652,11165209T900,YES
111652,1116520BLX00,YES
111652,1116520FMR00,YES
111652,1116520I4600,YES
111653,111653083W00,YES
111653,1116530BLX00,YES
111653,1116530PJP00,YES
111654,11165400UV00,YES
111654,1116540BLX00,YES
111654,1116540RTC00,YES
111655,1116550BLX00,YES
111655,1116550TI700,YES
111655,1116550V8400,YES
111656,1116560FWM00,YES
111656,1116560WR900,YES
111656,1116560ZI900,YES
111657,1116570AHF00,YES
111657,1116570EI700,YES
111657,1116570FWM00,YES
111657,1116570HKZ00,YES
111658,11165806AK00,YES
111658,1116580KB700,YES
111658,1116580WR900,YES
111659,1116590EPZ00,YES
111659,1116590FWM00,YES
111661,11166106AK00,YES
111661,1116610EX400,YES
111661,1116610FWM00,YES
111662,111662080S00,YES
111662,1116620HKZ00,YES
111663,1116630FWM00,YES
111663,1116630MVU00,YES
111663,1116630WR900,YES
111665,1116650B3V00,YES
111665,1116650CVT00,YES
111665,1116650KB700,YES
111666,1116660LHF00,YES
111666,1116660MVU00,YES
111667,11166700WM00,YES
111667,11166701ED00,YES
111668,1116680B3V00,YES
111668,1116680C9A00,YES
111671,111671084J00,YES
111671,1116710DDB00,YES
111671,1116710J5G00,YES
111671,1116710KTU00,YES
111679,1116790EX400,YES
111679,1116790KB700,YES
111679,1116790ZI900,YES
111681,1116810AGD00,YES
111681,1116810LHF00,YES
111681,1116810PJP00,YES
111682,1116820IPA00,YES
111682,1116820LHF00,YES
111682,1116820ZI900,YES
111688,11168802M200,YES
111688,1116880ANS00,YES
111688,1116880EX400,YES
111689,1116890I4600,YES
111689,1116890J5G00,YES
111690,1116900I4600,YES
111690,1116900J5G00,YES
111691,1116910ANS00,YES
111691,1116910EX400,YES
111692,1116920PJP00,YES
111693,1116930DTY00,YES
111693,1116930KB700,YES
111693,1116930PJP00,YES
111694,11169400JI00,YES
111694,1116940R8100,YES
111695,1116950R8000,YES
111695,1116950WIR00,YES
111696,11169600JI00,YES
111696,1116960BLX00,YES
111696,1116960SVK00,YES
111697,111697010A00,YES
111697,11169702M200,YES
111697,1116970KB700,YES
111698,1116980D3X00,YES
111698,1116980KB700,YES
111698,1116980PJP00,YES
111700,111700005L00,YES
111700,1117000L7Q00,YES
111700,1117000SZJ00,YES
111702,111702005L00,YES
111702,11170201ED00,YES
111702,111702035J00,YES
111706,1117060AOZ00,YES
111706,1117060CTL00,YES
111707,1117070AOZ00,YES
111707,1117070CTL00,YES
111707,1117070R8000,YES
111708,1117080AOZ00,YES
111708,1117080CTL00,YES
111708,1117080R8000,YES
111709,1117090ANS00,YES
111709,1117090I4600,YES
111709,1117090R8100,YES
111710,111710079U00,YES
111710,1117100KAC00,YES
111710,1117100KB700,YES
111711,1117110AOZ00,YES
111711,1117110KJ100,YES
111712,1117120ANS00,YES
111712,1117120FT300,YES
111712,1117120FX800,YES
111713,1117130AOZ00,YES
111713,1117130KJ100,YES
111714,1117140I4600,YES
111715,1117150AOZ00,YES
111720,11172000OX00,YES
111720,111720038I00,YES
111721,1117210R8100,YES
111721,1117210SVK00,YES
